date,temperature_max_c,temperature_min_c,temperature_avg_c,precipitation_mm,rainfall_mm,relative_humidity_percent,solar_radiation_mj_m2,wind_speed_max_kmh,et0_mm,rainfall_3day_mm,rainfall_7day_mm,irrigation_risk_score,heat_stress_risk_score,disease_risk_score,irrigation_risk_level,heat_stress_risk_level,disease_risk_level,soil_irrigation_factor,soil_adjusted_irrigation_risk_score,soil_adjusted_irrigation_risk_level,data_source
2026-08-03,30.9,23.2,26.4,3.5,1.4,67,22.59,22.9,5.51,1.4,1.4,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-04,29.2,22.5,25.3,3.2,2.0,74,21.03,27.9,4.91,3.4,3.4,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-05,30.7,22.1,25.9,2.0,0.9,70,21.68,26.8,5.51,4.3,4.3,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-06,29.8,22.0,25.2,4.1,1.8,75,18.79,24.6,4.57,4.7,6.1,0.6,0.0,0.6,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-07,28.9,22.7,24.4,4.5,1.7,77,14.15,27.7,3.68,4.4,7.8,0.45,0.0,0.6,Medium,Low,Medium,0.8932666666666667,0.40197,Medium,Open-Meteo Forecast
2026-08-08,29.7,22.8,25.6,1.5,0.9,70,18.83,27.7,4.94,4.4,8.7,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-09,30.7,22.8,26.6,0.0,0.0,65,24.08,27.1,5.96,2.6,8.7,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-10,31.6,22.3,26.3,0.8,0.7,69,25.71,20.5,6.03,1.6,8.0,0.7,0.0,0.44999999999999996,High,Low,Medium,0.8932666666666667,0.6252866666666667,Medium,Open-Meteo Forecast
2026-08-11,31.2,22.3,26.4,1.2,0.6,66,24.01,21.7,5.98,1.2999999999999998,6.6,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-12,31.1,21.9,26.3,0.3,0.2,66,23.65,21.6,5.91,1.5,5.9,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-13,31.4,22.1,26.2,1.0,0.7,69,24.87,23.9,5.97,1.5,4.799999999999999,0.6,0.0,0.44999999999999996,Medium,Low,Medium,0.8932666666666667,0.53596,Medium,Open-Meteo Forecast
2026-08-14,32.1,21.8,26.0,1.5,1.2,68,25.35,24.1,6.15,2.1,4.3,0.85,0.2,0.44999999999999996,High,Low,Medium,0.8932666666666667,0.7592766666666666,High,Open-Meteo Forecast
2026-08-15,31.3,21.5,26.1,0.0,0.0,63,23.55,25.8,6.37,1.9,3.3999999999999995,0.7,0.0,0.3,High,Low,Low,0.8932666666666667,0.6252866666666667,Medium,Open-Meteo Forecast
2026-08-16,29.6,21.9,25.9,0.0,0.0,62,23.5,26.0,6.3,1.2,3.3999999999999995,0.7,0.0,0.3,High,Low,Low,0.8932666666666667,0.6252866666666667,Medium,Open-Meteo Forecast
